packages/app/happydom.ts(5,28): error TS2304: Cannot find name 'HTMLCanvasElement'.
packages/app/happydom.ts(72,21): error TS2304: Cannot find name 'CanvasRenderingContext2D'.
packages/app/src/addons/serialize.test.ts(17,3): error TS2584: Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
packages/app/src/addons/serialize.test.ts(20,100): error TS2304: Cannot find name 'HTMLElement'.
packages/app/src/addons/serialize.test.ts(21,21): error TS2584: Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
packages/app/src/addons/serialize.test.ts(22,3): error TS2584: Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
packages/app/src/addons/serialize.ts(227,13): error TS4114: This member must have an 'override' modifier because it overrides a member in the base class 'BaseSerializeHandler'.
packages/app/src/addons/serialize.ts(241,13): error TS4114: This member must have an 'override' modifier because it overrides a member in the base class 'BaseSerializeHandler'.
packages/app/src/addons/serialize.ts(378,13): error TS4114: This member must have an 'override' modifier because it overrides a member in the base class 'BaseSerializeHandler'.
packages/app/src/addons/serialize.ts(427,13): error TS4114: This member must have an 'override' modifier because it overrides a member in the base class 'BaseSerializeHandler'.
packages/app/src/app.tsx(12,36): error TS2307: Cannot find module '@/context/global-sync' or its corresponding type declarations.
packages/app/src/app.tsx(13,36): error TS2307: Cannot find module '@/context/permission' or its corresponding type declarations.
packages/app/src/app.tsx(14,32): error TS2307: Cannot find module '@/context/layout' or its corresponding type declarations.
packages/app/src/app.tsx(15,35): error TS2307: Cannot find module '@/context/global-sdk' or its corresponding type declarations.
packages/app/src/app.tsx(16,43): error TS2307: Cannot find module '@/context/server' or its corresponding type declarations.
packages/app/src/app.tsx(17,34): error TS2307: Cannot find module '@/context/terminal' or its corresponding type declarations.
packages/app/src/app.tsx(18,32): error TS2307: Cannot find module '@/context/prompt' or its corresponding type declarations.
packages/app/src/app.tsx(19,30): error TS2307: Cannot find module '@/context/file' or its corresponding type declarations.
packages/app/src/app.tsx(20,38): error TS2307: Cannot find module '@/context/notification' or its corresponding type declarations.
